3-PC. THE GREAT BROW BASICS SET,$36.00,"Ace the brow basics! This trio of Benefit Cosmetics best sellers features 2 brow pencils and 1 brow gel at a major value! Goof Proof Brow Pencil easily fills and shapes brows with its 12-hour,* waterproof** formula and custom goof-proof tip. Precisely, My Brow Pencil draws natural-looking, hair-like strokes with its ultra-fine tip and 12-hour*** smudge-proof formula. For fuller-looking brows in an instant, brush on Gimme Brow+ Volumizing Eyebrow Gel. Wear the products alone or layer them together for a custom look. It's everything you need to create any brow style, from bold and defined to full and feathery! Available in 6 shades."
WOMEN'S JOAN OF ARCTIC WEDGE II WATERPROOF CHELSEA BOOTIES,$200.00,Sorel adds a chunky platform to the hidden wedge heel design of these retro-inspired Joan of Arctic Wedge II Chelsea booties.
HEART-EMBELLISHED TURTLENECK SWEATER,$99.00,"Say hello to your favorite new sweater from Vince Camuto, a cozy turtleneck designed with shimmering hearts at the front."
"HARD ANODIZED 11-PC. COOKWARE SET, CREATED FOR MACY'S",$299.99,"Stylish bell-shaped silhouettes set this efficient collection apart from the rest of your range. With larger stick handles for easier grips, plus hang holes for efficient storage, these chef's must-haves feature heavy-duty nonstick interiors that promote low-fat cooking and aluminum bodies that ensure quick, even heating. Lifetime warranty."
CHEEKLEADERS CHEEK PALETTE,$60.00,"A limited-edition, full-size cheek palette featuring new highlighter shades. Get pep-rally-pink cheeks with Pink Squad—a full-size palette to blush, brighten, and highlight—featuring the new Tickle golden-pink, a super-silky highlighter. Glow, bronze, and win with Bronze Squad—a full-size cheek palette to highlight, contour, and bronze—featuring the new Cookie golden-pearl, a super-silky highlighter, and new Hoola Caramel Medium-Deep Matte Bronzer."
PAISLEY MID-SHAFT BOOTS,$99.00,"Slouchy with crisscrossing buckled straps, the Paisley boots from Carlos by Carlos Santana are edgy chic personified. The look sits on a sturdy block heel for stable lift."
RUFFLE-SHOULDER SHEATH DRESS,$139.00,"Vince Camuto's elegant sheath features tiered ruffles at one shoulder, upping the ante on your ""little black dress"" aesthetic."
THEY'RE REAL! TINTED LASH PRIMER,$25.00,"NEW they're real! tinted primer defines AND primes lashes. Wear it alone or with your favorite mascara! When worn alone, the mink-brown primer gives lashes a natural, feathery look. Worn as a primer, it boosts lash length & separation for a beyond belief look."
"14-PC. COOKWARE SET, CREATED FOR MACY'S",$349.99,Create a great gourmet kitchen with this Culinary Science by Martha Stewart Collection 14-Pc. Cookware Set with a durable re-inforced ceramic non-stick interior for easy food release.
BY JAMBU DOTTIE BOOTIES,$90.00,Embroidered trim lends bohemian appeal to the everyday look of JBU by Jambu's Dottie booties while casual slouching and a sporty platform make for a relaxed finish.
DALMATIAN-PRINT JACKET,$199.00,A bold twist on the classic overcoat. This jacket by Vince Camuto features fuzzy dalmatian-print fleece and a notched collar.
HELLO HAPPY VELVET POWDER FOUNDATION,$30.00,"A double dose of happy! Choose your coverage with Benefit's NEW Hello Happy Velvet Powder Foundation! Lightweight and buildable, it mattifies all day yet feels creamy soft with shea butter extracts to create a luxuriously smooth feel. The mirrored compact includes a sponge and brush applicator, so you can customize your coverage!"
"CLASSIC NONSTICK 10-PC. COOKWARE SET, CREATED FOR MACY'S",$279.99,Get your kitchen off to a great start with this 10-pc. set of Calphalon Classic cookware. The pots and pans are made of durable non-anondized aluminum with nonstick surfaces that make cleanup and cooking easier.
"MASRINAA ANKLE BOOTIES, CREATED FOR MACY'S",$79.50,"Style & Co's Masrinaa booties curve gently along the topline, coming to a V where two fashionable zippers line up the sides."
FLORAL-PRINT VELVET BODYCON DRESS,$138.00,Moody florals style soft velvet with this gorgeous long-sleeved bodycon dress from Vince Camuto.
"GOOF PROOF BROW PENCIL EASY SHAPE & FILL, MINI",$12.00,"Goof Proof Brow Pencil is now available in a must-have mini size perfect for instant beauty on the go! Designed to fit the angles of your arches, this super easy brow-filling and shaping pencil has 12-hour* waterproof wear. **Goof Proof Brow Pencil features a custom teardrop tip that instantly shapes, defines and fills in brows. Use the pointed tip to outline arches and define your tail, then fill them in with the wide base. The soft, glide-on color creates naturally full beautiful brows, and the spoolie brush effortlessly blends for a perfectly polished look."
"STAINLESS STEEL 13-PC. COOKWARE SET, CREATED FOR MACY'S",$119.99,Get your kitchen off to a great start with this stainless steel cookware set from Tools of the Trade. The 13 pieces include the basics you'll use most plus utensils and a steamer.
"ELLIE FLATS, CREATED FOR MACY'S",$45.50,"Simply stylish! American Rag's Ellie flats are such classics, they'll go with just about anything you pair them with."
STUDDED LEGGINGS,$79.00,"Give your looks an edge with Vince Camuto's skinny leggings, accented with metallic studs in a line down each leg."
BROW ZINGS PRO PALETTE,$39.00,"Fill, sculpt and define brows like a pro! Take your eyebrow look up a notch with Benefit Cosmetics' NEW Brow Zings Pro Palette. This slim, portable eyebrow palette features 4 long-wearing powders to fill and shade, along with 3 waxes to sculpt and define (2 high-pigment waxes and 1 clear wax). Available in two flattering combinations to take the guesswork out of gorgeous brows: Light-Medium includes cool blonde to warm brown shades, while Medium-Deep includes warm brown to cool black-brown shades."
"STAINLESS STEEL 7-PC. COOKWARE SET, CREATED FOR MACY'S",$629.99,"All-Clad's dedication to top-quality cookware is apparent in the durable mirror-polished 18/10 stainless steel construction and use of cooking highly heat conducive surfaces that don't react with food, so you get exactly the flavors you want."
"SACHI BLOCK-HEEL MID-SHAFT WIDE CALF BOOTS, CREATED FOR MACY'S",$49.99,"Dressed up or down, the Sachi wide-calf boots from Style & Co take any look to the next level with buckled straps and boho-chic slouched silhouette."
FAIRISLE FRINGE SWEATER,$99.00,Fairisle gets even more festive with the addition of subtle fringe trim to this long-sleeve sweater by Vince Camuto.
3-PC. I'M HOTTER OUTDOORS LIMITED EDITION SET,$30.00,"Look hot on the trails! Get everything you need for super-curled lashes, fuller-looking brows and a believable bronze glow with Benefit Cosmetics' limited-edition I'm Hotter Outdoors Set. It features full sizes of top-selling Roller Lash curling mascara and award-winning Hoola matte powder bronzer, plus a mini Gimme Brow+ volumizing fiber gel for full, natural-looking brows on the go, all packaged in a collectible vintage-inspired camper tin. At a hot value, it's the perfect gift to give (or get)!"
"MELANY BOOTIES, CREATED FOR MACY'S",$69.50,Buckled straps add shine to the mixed-media design of Material Girl's Melany booties for a fun look that dresses up or down with a hint of western flair.
"NONSTICK 13-PC. COOKWARE SET, CREATED FOR MACY'S",$119.99,"Enjoy non-stick performance and a variety of the essentials you turn to most with this Tools of the Trade cookware set. The 13 pieces include saucepans, utensils and more."
CHIFFON BLOUSE,$79.00,"A soft update on a buttoned-down classic, this Vince Camuto blouse is in airy chiffon with work-to-weekend chic."
BADGAL BANG! VOLUMIZING MASCARA,$25.00,"Get out-of-this-world lashes! BADgal Bang! 36-Hour Full-Blast Volumizing Mascara creates massive volume without weighing down lashes! The gravity-defying formula contains aero-particles, one of the lightest known materials derived from space technology. This innovative intense pitch-black mascara layers easily for bigger impact. Its custom brush is designed to reach from root to tip and corner to corner of upper and lower lashes for big volume with 360° reach!"
ZIGI SOHO ONLEY OVER-THE-KNEE BOOTS,$69.00,ZIGIny Zigi Soho's Onley over-the-knee boots ground a towering silhouette with a subtle heel and metallic hardware for wear-anywhere appeal.
"ENAMELED CAST IRON COOKWARE, CREATED FOR MACY'S",$179.99,"Roast, slow cook, sear and bake to perfection with the lasting beauty and performance of Enameled Cast Iron Cookware from Martha Stewart Collection. Select your choice of colored exteriors in stovetop and oven-to-table designs that combine classic straight-sided shapes with modern features like stainless steel lid knobs and non-reactive enamel interiors that never need seasoning."
GOOF PROOF BROW PENCIL EASY SHAPE & FILL,$24.00,"NOW available in 12 shades to flatter every hair color, anyone can be an expert with this super easy brow-filling and shaping eyebrow pencil! Benefit's goof proof brow pencil features a custom goof-proof tip that instantly shapes, defines & fills in brows. The soft, glide-on color creates naturally full, beautiful brows and the spoolie-brush effortlessly blends the 12-hour* waterproof** color."
"WOMEN'S STEP 'N FLEX JEULES PUMPS, CREATED FOR MACY'S",$69.50,"Your go-to shoe. With a textured upper and pointed toe, Alfani's Step 'N Flex Jeules pumps boast flexible cushioning and support for all-day wear."
ADVANCED HOME HARD-ANODIZED NONSTICK 4.5-QT. TAPERED SAUCEPOT,$99.99,"Add precision sauce-making to the kitchen with the high-quality performance, durable construction, and everyday convenience of the Anolon Advanced Home Hard-Anodized Nonstick 4.5-Qt. Tapered Saucepot."
VELVET-PANEL SHEATH DRESS,$148.00,"Take your look in a chic direction with Vince Camuto's sheath dress spliced with panels of luxe, contemporary velvet."
BROW STYLER EYEBROW PENCIL & POWDER DUO,$34.00,"Benefit's new Brow Styler 2-in-1 wax-pencil & powder duo is all you need to create 3 essential eyebrow looks. The waterproof, 18-hour wear wax-pencil effortlessly sculpts and shapes brows."
"MARIUS PERFORATED DRESS BOOTIES, CREATED FOR MACY'S",$74.50,"An office staple, the chic perforated pattern on Karen Scott's Marius ankle booties lends mod appeal to a sleek versatile design."
"CHEF'S CLASSIC 14-PC. STAINLESS STEEL COOKWARE SET, CREATED FOR MACY'S",$299.99,Get a great start on a gourmet kitchen with this 14-pc. set from Cuisinart. The Chef's Classic cookware is made of durable stainless steel.
"DIAMOND BROWN WOVEN LEATHER BRACELET (1/4 CT. T.W.) IN STERLING SILVER & 14K GOLD, CREATED FOR MACY'S","$2,200.00","Give him the rock-and-roll sparkle he craves with this brown woven leather bracelet highlighted with round-shape diamonds (1/4 ct. t.w.) and sterling silver and 14k gold accents. Magnetic clasp. Approximate length: 8-1/2""."
"MADIXE RIDING BOOTS, CREATED FOR MACY'S",$49.99,"Walk tall in this long, lean silhouette. The Madixe casual riding boots by Style & Co."
"BENEFIT 3-PC. BOSS BROWS, BABY! BROW SET",$34.00,"Raise a brow. Raise your voice. As a company founded by two bold and empowered women, Benefit wanted the chance to celebrate its roots. Benefit stands for more than just makeup, so the company partnered with four confident and inspiring bosses who are using their voices in unique ways to raise up others and fight for what they believe in. Meet Boss Brows, Baby! It's Benefit's limited-edition brow gel and pencil set with two full size, best-selling brow products so everyone can be a brow boss! Comes complete with a custom Boss Brows ban.do makeup bag. Available in 8 shades!"
"APPLE WATCH NIKE SERIES 5 GPS, 44MM SPACE GRAY ALUMINUM CASE WITH ANTHRACITE/BLACK NIKE SPORT BAND",$429.00,Apple Watch Nike Series 5 lets you track your workouts and listen to Audio Guided Runs with the Nike Run Club app. You can listen to music and receive encouragement from friends right on your wrist. And there are exclusive Nike watch bands and watch faces optimized for the Always-On Retina display.
